Jan-00,Chelsea,"West Ham",H
Jan-00,Chelsea,Liverpool,H
Jan-00,Chelsea,Coventry,H
Jan-00,Chelsea,Tottenham,H
Jan-00,Chelsea,"Man City",H
Jan-00,Chelsea,Derby,H
Jan-00,Chelsea,Bradford,H
Jan-00,Chelsea,"Aston Villa",H
Jan-00,Chelsea,Ipswich,H
Jan-00,Chelsea,Newcastle,H
Jan-00,"West Ham",Chelsea,A
Jan-00,Chelsea,Middlesbrough,H
Jan-00,Derby,Chelsea,A
Jan-00,Chelsea,Southampton,H
Jan-00,Tottenham,Chelsea,A
Jan-00,Chelsea,Everton,H
Jan-00,"Man City",Chelsea,A
01-Feb,Southampton,Chelsea,A
01-Feb,Tottenham,Chelsea,A
01-Feb,Chelsea,Leicester,H
01-Feb,Chelsea,Ipswich,H
01-Feb,"Man United",Chelsea,A
01-Feb,Chelsea,Liverpool,H
01-Feb,Chelsea,Bolton,H
01-Feb,Newcastle,Chelsea,A
01-Feb,Chelsea,"West Ham",H
01-Feb,Chelsea,Leeds,H
01-Feb,Leicester,Chelsea,A
01-Feb,Chelsea,Fulham,H
01-Feb,Chelsea,Tottenham,H
01-Feb,Chelsea,Sunderland,H
01-Feb,Chelsea,Derby,H
01-Feb,Chelsea,Everton,H
01-Feb,Middlesbrough,Chelsea,A
02-Mar,Charlton,Chelsea,A
02-Mar,Blackburn,Chelsea,A
02-Mar,Chelsea,Newcastle,H
02-Mar,"Man City",Chelsea,A
02-Mar,Chelsea,"West Brom",H
02-Mar,Chelsea,Birmingham,H
02-Mar,Chelsea,Middlesbrough,H
02-Mar,Chelsea,Sunderland,H
02-Mar,Everton,Chelsea,A
02-Mar,Chelsea,"Aston Villa",H
02-Mar,Chelsea,Charlton,H
02-Mar,Chelsea,Leeds,H
02-Mar,Birmingham,Chelsea,A
02-Mar,"West Brom",Chelsea,A
02-Mar,Chelsea,"Man City",H
02-Mar,Sunderland,Chelsea,A
02-Mar,Chelsea,Bolton,H
02-Mar,Chelsea,Everton,H
02-Mar,Chelsea,Liverpool,H
03-Apr,Liverpool,Chelsea,A
03-Apr,Chelsea,Leicester,H
03-Apr,Chelsea,Tottenham,H
03-Apr,Wolves,Chelsea,A
03-Apr,Chelsea,"Aston Villa",H
03-Apr,Middlesbrough,Chelsea,A
03-Apr,Chelsea,"Man City",H
03-Apr,Everton,Chelsea,A
03-Apr,Chelsea,Newcastle,H
03-Apr,Southampton,Chelsea,A
03-Apr,Chelsea,"Man United",H
03-Apr,Fulham,Chelsea,A
03-Apr,Chelsea,Portsmouth,H
03-Apr,Leicester,Chelsea,A
03-Apr,Blackburn,Chelsea,A
03-Apr,Chelsea,Charlton,H
03-Apr,Portsmouth,Chelsea,A
03-Apr,"Man City",Chelsea,A
03-Apr,Bolton,Chelsea,A
03-Apr,Chelsea,Fulham,H
03-Apr,Chelsea,Wolves,H
03-Apr,Tottenham,Chelsea,A
03-Apr,Chelsea,Southampton,H
03-Apr,Chelsea,Leeds,H
04-May,Chelsea,"Man United",H
04-May,Birmingham,Chelsea,A
04-May,"Crystal Palace",Chelsea,A
04-May,Chelsea,Southampton,H
04-May,Middlesbrough,Chelsea,A
04-May,Chelsea,Liverpool,H
04-May,Chelsea,Blackburn,H
04-May,"West Brom",Chelsea,A
04-May,Chelsea,Everton,H
04-May,Fulham,Chelsea,A
04-May,Charlton,Chelsea,A
04-May,Chelsea,Newcastle,H
04-May,Chelsea,Norwich,H
04-May,Chelsea,"Aston Villa",H
04-May,Portsmouth,Chelsea,A
04-May,Liverpool,Chelsea,A
04-May,Chelsea,Middlesbrough,H
04-May,Tottenham,Chelsea,A
04-May,Chelsea,Portsmouth,H
04-May,Blackburn,Chelsea,A
04-May,Everton,Chelsea,A
04-May,Norwich,Chelsea,A
04-May,Chelsea,"West Brom",H
04-May,Chelsea,"Crystal Palace",H
04-May,Southampton,Chelsea,A
04-May,Chelsea,Fulham,H
04-May,Bolton,Chelsea,A
04-May,Chelsea,Charlton,H
04-May,"Man United",Chelsea,A
05-Jun,Wigan,Chelsea,A
05-Jun,Chelsea,Arsenal,H
05-Jun,Chelsea,"West Brom",H
05-Jun,Tottenham,Chelsea,A
05-Jun,Chelsea,Sunderland,H
05-Jun,Charlton,Chelsea,A
05-Jun,Chelsea,"Aston Villa",H
05-Jun,Liverpool,Chelsea,A
05-Jun,Chelsea,Bolton,H
05-Jun,Chelsea,Blackburn,H
05-Jun,Chelsea,Newcastle,H
05-Jun,Portsmouth,Chelsea,A
05-Jun,Chelsea,Middlesbrough,H
05-Jun,Chelsea,Wigan,H
05-Jun,Arsenal,Chelsea,A
05-Jun,Chelsea,Fulham,H
05-Jun,"Man City",Chelsea,A
05-Jun,Chelsea,Birmingham,H
05-Jun,"West Ham",Chelsea,A
05-Jun,Sunderland,Chelsea,A
05-Jun,Chelsea,Liverpool,H
05-Jun,Chelsea,Portsmouth,H
05-Jun,"West Brom",Chelsea,A
05-Jun,Chelsea,Tottenham,H
05-Jun,Chelsea,"Man City",H
05-Jun,Chelsea,"West Ham",H
05-Jun,Bolton,Chelsea,A
05-Jun,Chelsea,Everton,H
05-Jun,Chelsea,"Man United",H
06-Jul,Chelsea,"Man City",H
06-Jul,Blackburn,Chelsea,A
06-Jul,Chelsea,Charlton,H
06-Jul,Chelsea,Liverpool,H
06-Jul,Fulham,Chelsea,A
06-Jul,Reading,Chelsea,A
06-Jul,Chelsea,Portsmouth,H
06-Jul,"Sheffield United",Chelsea,A
06-Jul,Chelsea,Watford,H
06-Jul,Chelsea,"West Ham",H
